"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",1.605733416105,"m1",7,"P_BL6","pool4"
"2","PBANKA_070620",NA,"m1",7,"P_BL6","pool4"
"3","PBANKA_112900",1.56083717630365,"m1",7,"P_BL6","pool4"
"4","PBANKA_051500",2.44823075558709,"m1",7,"P_BL6","pool4"
"5","PBANKA_103780",0.740787956722242,"m1",7,"P_BL6","pool4"
"6","PBANKA_140160",NA,"m1",7,"P_BL6","pool4"
"7","PBANKA_030600",0.198707431713374,"m1",7,"P_BL6","pool4"
"8","PBANKA_011040",0.164619545938276,"m1",7,"P_BL6","pool4"
"9","PBANKA_031330",0.0911781660163178,"m1",7,"P_BL6","pool4"
"10","PBANKA_124430",0.656538222774033,"m1",7,"P_BL6","pool4"
"11","PBANKA_041830",0.294042656970557,"m1",7,"P_BL6","pool4"
"12","PBANKA_142810",0.776261528910961,"m1",7,"P_BL6","pool4"
"13","PBANKA_071350",0.160739623980135,"m1",7,"P_BL6","pool4"
"14","PBANKA_114370",1.00988825824761,"m1",7,"P_BL6","pool4"
"15","PBANKA_133730",0.223372649875842,"m1",7,"P_BL6","pool4"
"16","PBANKA_093260",8.07772037956722,"m1",7,"P_BL6","pool4"
"17","PBANKA_090780",0.67787779354381,"m1",7,"P_BL6","pool4"
"18","PBANKA_146300",1.32499334870521,"m1",7,"P_BL6","pool4"
"19","PBANKA_050370",0.758524742816602,"m1",7,"P_BL6","pool4"
"20","PBANKA_030100",0.206467275629656,"m1",7,"P_BL6","pool4"
"21","PBANKA_010580",0.272980223483505,"m1",7,"P_BL6","pool4"
"22","PBANKA_050530",0.0338107484923732,"m1",7,"P_BL6","pool4"
"23","PBANKA_040500",0.663743792124867,"m1",7,"P_BL6","pool4"
"24","PBANKA_070690",4.10745166725789,"m1",7,"P_BL6","pool4"
"25","PBANKA_080550",1.05339881163533,"m1",7,"P_BL6","pool4"
"26","PBANKA_080610",1.25764898900319,"m1",7,"P_BL6","pool4"
"27","PBANKA_040950",0.975523235189784,"m1",7,"P_BL6","pool4"
"28","PBANKA_080810",0.138568641362185,"m1",7,"P_BL6","pool4"
"29","PBANKA_111090",0.354181447321745,"m1",7,"P_BL6","pool4"
"30","PBANKA_070990",0.067344359702022,"m1",7,"P_BL6","pool4"
"31","PBANKA_060920",2.28859968073785,"m1",7,"P_BL6","pool4"
"32","PBANKA_041160",1.1201888967719,"m1",7,"P_BL6","pool4"
"33","PBANKA_091140",0.445913887903512,"m1",7,"P_BL6","pool4"
"34","PBANKA_021200",0.70642293366442,"m1",7,"P_BL6","pool4"
"35","PBANKA_050790",1.81109214260376,"m1",7,"P_BL6","pool4"
"36","PBANKA_140900",1.90781305427457,"m1",7,"P_BL6","pool4"
"37","PBANKA_041320",0.0753813409010287,"m1",7,"P_BL6","pool4"
"38","PBANKA_131260",0.839171692089393,"m1",7,"P_BL6","pool4"
"39","PBANKA_121590",0.826423377084072,"m1",7,"P_BL6","pool4"
"40","PBANKA_031230",0.188730489535296,"m1",7,"P_BL6","pool4"
"41","PBANKA_091250",2.01949937921249,"m1",7,"P_BL6","pool4"
"42","PBANKA_101470",1.70855134799574,"m1",7,"P_BL6","pool4"
"43","PBANKA_041810",0.169608017027315,"m1",7,"P_BL6","pool4"
"44","PBANKA_111270",0.182356332032636,"m1",7,"P_BL6","pool4"
"45","PBANKA_091650",0.94420672224193,"m1",7,"P_BL6","pool4"
"46","PBANKA_081940",0.799541060659808,"m1",7,"P_BL6","pool4"
"47","PBANKA_082130",0.0487761617594892,"m1",7,"P_BL6","pool4"
"48","PBANKA_051830",1.39012061014544,"m1",7,"P_BL6","pool4"
"49","PBANKA_142580",0.839171692089393,"m1",7,"P_BL6","pool4"
"50","PBANKA_143160",0.157691113870167,"m1",7,"P_BL6","pool4"
"51","PBANKA_092500",0.167945193330968,"m1",7,"P_BL6","pool4"
